C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,P-VALUE,PROPORTION,STATISTICAL TEST
1,2,1,2,1,1,4,0,6,2,0.122325,20/20,NonOverlappingTemplate
2,1,7,2,2,0,1,3,2,0,0.035174,20/20,NonOverlappingTemplate
1,2,1,2,2,2,2,2,2,4,0.964295,20/20,NonOverlappingTemplate
0,4,3,5,2,1,2,2,1,0,0.213309,20/20,NonOverlappingTemplate
2,1,1,1,1,1,4,1,7,1,0.035174,20/20,NonOverlappingTemplate
3,1,3,1,1,1,2,4,3,1,0.739918,20/20,NonOverlappingTemplate
3,0,3,1,3,1,3,1,2,3,0.739918,20/20,NonOverlappingTemplate
5,3,5,1,1,1,1,0,2,1,0.122325,19/20,NonOverlappingTemplate
4,2,1,1,3,2,2,1,2,2,0.911413,20/20,NonOverlappingTemplate
2,1,2,2,2,5,4,2,0,0,0.275709,19/20,NonOverlappingTemplate
3,3,3,0,2,0,1,2,3,3,0.637119,20/20,NonOverlappingTemplate
2,4,4,0,2,0,1,1,1,5,0.122325,20/20,NonOverlappingTemplate
0,1,4,5,0,2,3,4,1,0,0.066882,20/20,NonOverlappingTemplate
7,1,1,2,1,0,2,2,2,2,0.066882,19/20,NonOverlappingTemplate
2,3,3,2,1,3,1,2,2,1,0.964295,20/20,NonOverlappingTemplate
3,0,3,1,4,2,2,0,3,2,0.534146,20/20,NonOverlappingTemplate
1,2,3,2,2,2,3,1,2,2,0.991468,20/20,NonOverlappingTemplate
1,1,3,0,3,1,3,2,3,3,0.739918,20/20,NonOverlappingTemplate
1,3,1,2,4,2,3,1,2,1,0.834308,20/20,NonOverlappingTemplate
0,4,1,3,1,0,2,5,4,0,0.066882,20/20,NonOverlappingTemplate
0,2,2,3,0,1,5,0,4,3,0.122325,20/20,NonOverlappingTemplate
3,0,3,3,2,3,0,0,3,3,0.437274,20/20,NonOverlappingTemplate
2,2,2,3,3,1,1,2,1,3,0.964295,20/20,NonOverlappingTemplate
1,2,0,1,6,2,1,2,3,2,0.213309,20/20,NonOverlappingTemplate
3,2,2,3,2,4,1,1,0,2,0.739918,20/20,NonOverlappingTemplate
1,3,0,2,2,2,3,1,2,4,0.739918,20/20,NonOverlappingTemplate
0,1,2,3,2,2,4,3,2,1,0.739918,20/20,NonOverlappingTemplate
1,1,2,1,3,5,3,2,0,2,0.437274,20/20,NonOverlappingTemplate
1,5,4,0,2,0,0,3,2,3,0.122325,20/20,NonOverlappingTemplate
2,4,3,3,0,1,3,2,2,0,0.534146,20/20,NonOverlappingTemplate
2,3,2,1,1,1,3,3,2,2,0.964295,20/20,NonOverlappingTemplate
2,4,2,4,0,2,2,2,1,1,0.637119,20/20,NonOverlappingTemplate
1,1,2,4,3,2,1,2,0,4,0.534146,20/20,NonOverlappingTemplate
1,4,1,0,2,1,1,2,3,5,0.275709,20/20,NonOverlappingTemplate
3,1,2,1,1,1,6,0,1,4,0.090936,20/20,NonOverlappingTemplate
0,0,2,1,5,2,4,3,2,1,0.213309,20/20,NonOverlappingTemplate
1,3,5,2,1,0,1,2,1,4,0.275709,20/20,NonOverlappingTemplate
4,1,3,3,4,1,3,0,1,0,0.275709,19/20,NonOverlappingTemplate
3,1,1,2,2,2,2,3,2,2,0.991468,19/20,OverlappingTemplate
1,1,4,4,3,1,2,2,2,0,0.534146,20/20,Universal
2,1,4,2,1,3,1,4,1,1,0.637119,20/20,ApproximateEntropy
3,2,0,3,1,0,1,1,2,1,0.213309,14/14,RandomExcursions
1,1,1,0,1,0,3,4,1,2,0.066882,14/14,RandomExcursions
2,1,1,0,3,1,1,0,3,2,0.213309,14/14,RandomExcursions
1,4,1,1,0,2,0,2,2,1,0.122325,14/14,RandomExcursions
