C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,P-VALUE,PROPORTION,STATISTICAL TEST
1,4,2,1,4,2,1,2,1,2,0.739918,20/20,NonOverlappingTemplate
3,2,1,1,2,1,5,4,0,1,0.275709,19/20,NonOverlappingTemplate
0,3,4,1,2,1,1,3,1,4,0.437274,20/20,NonOverlappingTemplate
0,2,1,1,5,2,1,5,0,3,0.090936,20/20,NonOverlappingTemplate
2,3,2,3,3,0,1,0,3,3,0.637119,19/20,NonOverlappingTemplate
2,2,0,1,1,6,4,0,3,1,0.066882,20/20,NonOverlappingTemplate
3,3,3,5,2,1,1,0,0,2,0.275709,20/20,NonOverlappingTemplate
1,2,1,1,2,2,3,2,2,4,0.911413,20/20,NonOverlappingTemplate
2,1,1,2,3,3,2,3,2,1,0.964295,20/20,NonOverlappingTemplate
1,1,0,2,3,2,0,2,5,4,0.213309,20/20,NonOverlappingTemplate
0,2,1,1,2,3,3,3,1,4,0.637119,20/20,NonOverlappingTemplate
0,1,6,1,2,5,2,0,1,2,0.035174,20/20,NonOverlappingTemplate
1,6,2,1,0,0,1,3,4,2,0.066882,20/20,NonOverlappingTemplate
1,0,2,7,2,1,1,4,1,1,0.025193,19/20,NonOverlappingTemplate
1,2,1,2,2,0,1,6,2,3,0.213309,20/20,NonOverlappingTemplate
4,5,1,2,2,1,1,2,0,2,0.350485,20/20,NonOverlappingTemplate
5,1,2,2,4,1,0,1,1,3,0.275709,20/20,NonOverlappingTemplate
3,1,3,1,3,3,1,1,1,3,0.834308,20/20,NonOverlappingTemplate
2,5,3,1,3,2,2,0,2,0,0.350485,19/20,NonOverlappingTemplate
2,3,2,3,2,1,0,3,1,3,0.834308,20/20,NonOverlappingTemplate
1,0,3,2,3,3,1,3,2,2,0.834308,20/20,NonOverlappingTemplate
1,3,2,2,1,2,2,3,3,1,0.964295,20/20,NonOverlappingTemplate
1,1,4,2,1,2,1,2,4,2,0.739918,19/20,NonOverlappingTemplate
1,2,1,2,1,0,5,4,1,3,0.275709,20/20,NonOverlappingTemplate
0,5,0,2,2,2,2,1,3,3,0.350485,20/20,NonOverlappingTemplate
3,1,2,1,2,2,1,4,1,3,0.834308,20/20,NonOverlappingTemplate
0,0,2,1,5,2,4,4,0,2,0.090936,20/20,NonOverlappingTemplate
3,2,3,3,1,0,2,3,0,3,0.637119,19/20,NonOverlappingTemplate
0,0,2,3,3,1,3,5,2,1,0.275709,20/20,NonOverlappingTemplate
1,1,1,4,2,0,0,2,3,6,0.066882,20/20,NonOverlappingTemplate
2,3,4,2,0,0,3,1,3,2,0.534146,20/20,NonOverlappingTemplate
3,2,1,2,2,5,2,1,1,1,0.637119,19/20,NonOverlappingTemplate
1,1,2,2,2,2,2,3,2,3,0.991468,19/20,NonOverlappingTemplate
0,2,2,1,2,3,1,1,4,4,0.534146,20/20,NonOverlappingTemplate
0,1,2,2,2,0,6,1,2,4,0.090936,20/20,NonOverlappingTemplate
2,3,2,3,1,0,3,1,5,0,0.275709,20/20,NonOverlappingTemplate
2,2,2,3,2,0,0,2,3,4,0.637119,20/20,NonOverlappingTemplate
0,5,0,3,0,1,3,2,1,5,0.048716,20/20,NonOverlappingTemplate
2,2,1,5,2,1,2,4,1,0,0.350485,20/20,NonOverlappingTemplate
0,2,1,2,3,4,2,3,2,1,0.739918,20/20,NonOverlappingTemplate
3,0,4,3,3,2,3,1,0,1,0.437274,19/20,NonOverlappingTemplate
2,3,3,5,2,3,0,1,1,0,0.275709,19/20,NonOverlappingTemplate
4,4,1,0,1,2,1,2,4,1,0.350485,19/20,NonOverlappingTemplate
3,1,1,1,4,1,2,3,1,3,0.739918,20/20,NonOverlappingTemplate
3,0,3,3,1,2,1,1,3,3,0.739918,20/20,NonOverlappingTemplate
1,1,1,2,4,3,2,1,2,3,0.834308,19/20,NonOverlappingTemplate
6,1,0,3,1,1,1,1,2,4,0.090936,19/20,NonOverlappingTemplate
3,2,1,1,3,0,3,2,4,1,0.637119,20/20,NonOverlappingTemplate
1,2,1,1,1,3,1,5,4,1,0.350485,20/20,NonOverlappingTemplate
0,2,2,0,0,4,6,3,2,1,0.048716,20/20,NonOverlappingTemplate
5,2,2,1,2,0,1,3,1,3,0.437274,20/20,NonOverlappingTemplate
0,2,1,2,4,1,3,2,3,2,0.739918,20/20,NonOverlappingTemplate
2,5,4,0,0,1,0,4,1,3,0.066882,20/20,NonOverlappingTemplate
2,3,1,4,0,1,3,2,2,2,0.739918,20/20,NonOverlappingTemplate
5,3,2,1,1,1,2,3,2,0,0.437274,20/20,NonOverlappingTemplate
1,0,3,2,2,1,3,3,2,3,0.834308,20/20,NonOverlappingTemplate
5,2,0,2,3,1,1,2,0,4,0.213309,20/20,NonOverlappingTemplate
1,0,3,1,0,0,4,0,3,8,0.000439,20/20,NonOverlappingTemplate
3,3,3,2,1,1,4,1,1,1,0.739918,19/20,NonOverlappingTemplate
2,3,1,2,1,1,2,2,2,4,0.911413,20/20,NonOverlappingTemplate
0,3,0,4,2,1,2,7,0,1,0.008879,20/20,NonOverlappingTemplate
2,1,1,3,5,2,3,1,0,2,0.437274,20/20,NonOverlappingTemplate
2,2,1,0,1,3,4,1,3,3,0.637119,20/20,NonOverlappingTemplate
3,1,2,5,2,1,1,2,1,2,0.637119,19/20,NonOverlappingTemplate
1,1,3,2,1,0,2,5,1,4,0.275709,20/20,NonOverlappingTemplate
5,1,4,3,1,2,1,0,2,1,0.275709,20/20,NonOverlappingTemplate
1,6,0,2,1,0,5,3,2,0,0.017912,20/20,NonOverlappingTemplate
2,3,4,4,0,0,1,2,1,3,0.350485,20/20,NonOverlappingTemplate
3,1,1,0,2,1,3,4,2,3,0.637119,20/20,NonOverlappingTemplate
1,1,6,0,4,3,0,3,1,1,0.048716,20/20,NonOverlappingTemplate
0,3,0,1,0,7,3,1,2,3,0.012650,20/20,NonOverlappingTemplate
5,3,1,1,4,0,2,3,1,0,0.162606,20/20,NonOverlappingTemplate
0,1,2,4,2,3,1,0,1,6,0.066882,20/20,NonOverlappingTemplate
2,2,1,2,3,2,2,4,0,2,0.834308,20/20,NonOverlappingTemplate
3,0,1,5,1,3,2,2,0,3,0.275709,20/20,NonOverlappingTemplate
0,4,1,5,2,0,1,3,3,1,0.162606,20/20,NonOverlappingTemplate
2,2,1,2,3,1,4,2,2,1,0.911413,20/20,NonOverlappingTemplate
0,2,1,1,5,2,1,5,0,3,0.090936,20/20,NonOverlappingTemplate
3,0,4,0,3,1,3,1,3,2,0.437274,20/20,OverlappingTemplate
3,1,1,2,2,1,1,3,2,4,0.834308,20/20,Universal
1,3,3,2,2,1,1,2,2,3,0.964295,20/20,ApproximateEntropy
2,1,0,2,2,1,3,0,1,1,0.437274,13/13,RandomExcursions
0,1,0,1,2,0,4,3,0,2,0.025193,13/13,RandomExcursions
0,2,0,2,2,3,1,2,0,1,0.275709,13/13,RandomExcursions
0,1,1,3,1,1,1,2,3,0,0.275709,13/13,RandomExcursions
1,1,0,2,2,0,0,2,0,5,0.006196,13/13,RandomExcursions
2,2,1,2,2,1,1,2,0,0,0.637119,13/13,RandomExcursions
2,2,2,0,1,3,0,1,2,0,0.275709,13/13,RandomExcursions
1,1,2,2,0,1,0,0,3,3,0.162606,13/13,RandomExcursions
3,3,0,2,0,0,1,1,2,1,0.162606,13/13,RandomExcursionsVariant
3,1,2,0,1,1,2,2,0,1,0.437274,13/13,RandomExcursionsVariant
3,1,0,1,3,1,3,0,0,1,0.090936,13/13,RandomExcursionsVariant
2,1,2,1,1,2,0,1,2,1,0.834308,13/13,RandomExcursionsVariant
2,2,1,0,1,3,3,0,0,1,0.162606,13/13,RandomExcursionsVariant
2,1,1,0,4,1,2,1,1,0,0.162606,13/13,RandomExcursionsVariant
2,1,1,2,0,1,2,0,1,3,0.437274,13/13,RandomExcursionsVariant
1,1,1,1,2,2,1,2,1,1,0.964295,13/13,RandomExcursionsVariant
1,1,2,0,1,2,3,1,1,1,0.637119,13/13,RandomExcursionsVariant
1,2,1,1,3,1,1,1,2,0,0.637119,13/13,RandomExcursionsVariant
1,1,2,2,1,1,1,0,3,1,0.637119,12/13,RandomExcursionsVariant
1,0,1,3,1,2,2,2,1,0,0.437274,13/13,RandomExcursionsVariant
1,1,1,0,3,0,0,1,3,3,0.090936,13/13,RandomExcursionsVariant
0,3,1,2,0,1,0,2,2,2,0.275709,13/13,RandomExcursionsVariant
0,3,1,2,0,0,1,2,2,2,0.275709,13/13,RandomExcursionsVariant
1,2,0,1,0,1,2,1,1,4,0.162606,13/13,RandomExcursionsVariant
0,1,3,0,0,1,1,4,1,2,0.048716,13/13,RandomExcursionsVariant
0,2,2,1,2,1,0,2,2,1,0.637119,13/13,RandomExcursionsVariant
2,0,0,1,4,0,5,1,4,3,0.066882,20/20,Serial
2,0,0,0,6,0,2,5,3,2,0.012650,20/20,Serial
3,1,1,5,2,0,1,1,4,2,0.275709,19/20,LinearComplexity
