        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  23|   1000000|     100|0.19550757|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.56669375|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.21088034|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.70869503|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.88030594|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.14739976|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.38008043|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.61643283|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.04652487|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.99766683|   WEAK   
     rgb_kstest_test|   0|     10000|    1000|0.60168538|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.31696752|  PASSED  
             dab_dct| 256|     50000|       1|0.31872778|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.09053199|  PASSED  
        dab_filltree|  32|  15000000|       1|0.63791435|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.96009477|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.50575354|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.69171441|  PASSED  
